sentence,year,base_verb,lemma,form,label
"Hätte die Landesregierung damals Kasse gemacht und die über Jahrhunderte zusammengetragenen Spitzenlagen verkauft, hätten sich die Winzer die besten Stücke herausgepickt.",2010,kaufen,verkaufen,verkauft,0
"Den Touristen hätte aber auffallen können, dass die Fenice die Zahl der Aufführungen in diesem Jahr um 30 Prozent gesteigert hat und im nächsten Jahr um 50 Prozent steigern wird.",2010,steigern,gesteigert,gesteigert,0
"30 g Butter in einer Pfanne schmelzen ein und bei Dreiviertelhitze warten, bis sie hellbraun geworden ist.",2009,schmelzen,einschmelzen,schmelzen ein,1
"Vor fünf Jahren wurde Erik die Elektrode eingesetzt, ein Glaskolben mit drei Goldfäden und einem Tropfen Nährlösung, in die Nervenzellen hineinwuchern.",2009,setzen,einsetzen,eingesetzt,0
"Nach Nationen gegliedert, in Blöcken formiert, begleitet von ihren Nationalhymnen stehen sie nun als freie Menschen auf dem Appellplatz des KZ.",2009,gleiten,begleiten,begleitet,0
Ihre beste Freundin schwatzte ihr einen Schweizer Architekten auf.,2009,schwatzen,schwatzte,schwatzte,0
"Die Jungs weinen nicht, aber wir haben einen Polen in der Klasse, der hat immer traurig geschaut an.",2010,schauen,anschauen,geschaut an,1
"Issing: Gerade in Amerika hat man sich immer dagegen verwehren, gegen Blasen an den Vermögensmärkten vorzugehen.",2009,wehren,verwehren,verwehren,1
"Sie stammt noch aus der Zeit, da Hongkong nicht mehr war als eine hügelige Insel.",2010,stammen,stammt,stammt,0
"Wolfram Siebeck findet nichts dabei, wenn Köche Rezepte beklauen.",2010,klauen,beklauen,beklauen,1
"Jetzt müssten sich viele Schwarzmaler verwundert die Augen verreiben, freut sich Regling.",2010,reiben,verreiben,verreiben,1
"Leute laufen hinein, schauen, ob auch keine Leitung gebrochen an sei, fahren wieder fort.",2009,brechen,anbrechen,gebrochen an,1
"Seine Füße stecken in weißen Turnschuhen, und sein rundes Gesicht ruht auf einem kittfarbenen Tuch, das er sich um den Hals geknotet ein hat.",2010,knoten,einknoten,geknotet ein,1
"Reagiert Caroline mit ihrem Schlafbedürfnis auf einen Stephan, der mehr von der Glotze als von ihr entfesseln ist?",2009,fesseln,entfesseln,entfesseln,1
Er kann lesen oder für die Uni lernen ein.,2009,lernen,einlernen,lernen ein,1
"In der Tat verlieren Kinder schon ab dem ersten Lebensjahr eine entscheidende Fähigkeit, um Fremdsprachen völlig akzentfrei zu verlernen.",2010,lernen,verlernen,verlernen,1
"Obwohl das Verfahren noch läuft, baut die Stadt Dresden jedoch unbeirrt und auf eigenes Risiko.",2009,laufen,läuft,läuft,0
"Das ehrgeizige Ziel, den CO₂-Ausstoß Europas bis 2020 um 20 Prozent zu drosseln ab, hat die EU erreicht, wenn es gelingt, jährlich 780 Millionen Tonnen CO₂ einzusparen.",2009,drosseln,abdrosseln,drosseln ab,1
"Bei bis zu 3000 Cocktailwürstchen, die eine seiner elektronisch gesteuerten Portioniermaschinen pro Minute ausspucken kann, spielt es eben eine Rolle, wie genau man die gewünschte Menge Fleischbrät abpacken kann.",2009,spielen,spielt,spielt,0
Fransen passen sowohl zu verspielten Typen als auch zur klassischen Businessfrau.,2009,spielen,verspielen,verspielten,0
Mit einer Feuersteinklinge schnitzte der Hersteller fünf Fingerlöcher in den Knochen und am oberen Ende zwei tiefe v-förmige Kerben.,2009,schnitzen,schnitzte,schnitzte,0
"Dann den Sud für die spätere Sauce ansetzen: Eine Zwiebel und eine Möhre schälen, die Lauchstange unter fließendem Wasser waschen ab und unten den Strunk, oben etwas vom Grün abschneiden.",2009,waschen,abwaschen,waschen ab,1
Spitzen-Grüne sehen ihre Funktionäre auf dem Unabhängigkeitsweg weiter vorangeschritten als ihre Anhänger.,2009,spitzen,zuspitzen,spitzen zu,1
Zudem fahren Steuerstäbe zwischen die Brennelemente und bremsen die nukleare Kettenreaktion.,2010,bremsen,bremsen,bremsen,0
"Sie wurde in der Tat erfunden, um Trivialität als heroische Exklusivität zu prozessieren.",2009,finden,erfinden,erfunden,0
"Bisher gingen Wissenschaftler davon aus, dass sich die Drusenköpfe frühestens vor 1,8 Millionen Jahren auseinander entwickelt haben – während des Erdzeitalters, das als Pleistozän bekannt ist.",2009,wickeln,entwickeln,entwickelt,0
"Das WSJ nun meint, den Grund zu kennen aus.",2009,kennen,auskennen,kennen aus,1
"Durch einen kupfernen Tunnel bahnt an man sich den Weg in das sakrale Gebäude, das anmutet wie ein himmlisches Reich.",2010,bahnen,anbahnen,bahnt an,1
"Weil die Behörden sie nur Suu Kyi nannten und damit den Namen ihres berühmten Vaters, eines Nationalhelden, unterschlugen, verweigern sie sich, an dem Prozedere teilzunehmen, verlautete in Rangun.",2009,weigern,verweigern,verweigern,1
"Golden blitzt seine Brille im Scheinwerferlicht, wenn er auf der Bühne vor dem Brett sitzt, den Kopf neigt, kurz in der Nase bohrt oder sich ans Ohr fasst.",2010,blitzen,blitzt,blitzt,0
"Als er die nahe Böschung hinab in die Spree rollt an, eilt das Kind hinterher und versucht, ihn mit einem Stock herauszufischen, es verliert das Gleichgewicht und fällt ins Wasser.",2009,rollen,anrollen,rollt an,1
Der hat sich an mein Bein geschmiegt an und nach meiner Hand gegriffen.,2010,schmiegen,anschmiegen,geschmiegt an,1
Es muss diese Mischung aus Vertrauen und Wildheit gewesen sein.,2010,trauen,vertrauen,vertrauen,0
"Die Song-Dynastie kaufte damit robuste Rösser aus Tibet, mit denen sie gegen wilde Nomadenstämme aus dem Norden, die Vorfahren der Horden des Dschingis Khan, in die Schlacht zogen.",2010,fahren,vorfahren,vorfahren,0
"Er muss aufbrechen, ehe er festgestellt hat, dass die Sonne am Morgen nur für die kleine Gästeterrasse am Eingang zu strahlen scheint, während der Rest des Plateaus noch in kühlem Schatten liegt.",2009,brechen,aufbrechen,aufbrechen,0
"effizienter verwendet werden; es muss zweitens mehr Energie aus Quellen stammen, die nicht versiegen können; drittens muss die Energie der Zukunft sauber sein.",2010,wenden,verwenden,verwendet,0
Der Vater hatte es in Italien nach dem Krieg mit einer Fabrik für Schreibgeräte zu Wohlstand gebracht zu.,2010,bringen,zubringen,gebracht zu,1
Weniger überzeugend ist deshalb – auch da hier mühsam um Konstruktivität gerungen ab wird – das letzte Drittel des Buches geraten.,2009,ringen,abringen,gerungen ab,1
"Iran jedoch kann sich eines traurigen Weltrekords rühmen: Das Land ist Weltführer bei der Hinrichtung von Angeklagten, die ihre Tat vor der Volljährigkeit begangen haben.",2009,rühmen,rühmen,rühmen,0
Dann strömen mindestens 50 Megabit pro Sekunde durch die Leitungen.,2009,strömen,strömen,strömen,0
Stückl bekommt das Stück erst gar nicht richtig zu fassen.,2009,kommen,bekommen,bekommt,0
Doch dazu gehört ein ganzer Batzen Glück.,2009,hören,gehört,gehört,0
"Doch das ist nicht das einzig auffällige, das der auch in Südeuropa beheimatete Vogel an den Tag legt: Afrikanische Artgenossen benutzen beispielsweise Steine, um damit die Schale von Straußeneiern zu verknacken.",2010,knacken,verknacken,verknacken,1
"Die Lampen hängen geknickt ein von der Decke, die Wand zum Museum ist durchbrochen.",2010,knicken,einknicken,geknickt ein,1
"Und die fand ich alle spannend ein, lustig und frei.",2010,spannen,einspannen,spannend ein,1
"Aber weil wir nur das reine Kreditgeschäft betreiben – und das im notleidenden Sektor –, hatten wir Schwierigkeiten, uns als Ausbildungsbetrieb zu qualifizieren ab.",2009,qualifizieren,abqualifizieren,qualifizieren ab,1
"Wir fragen nach einem späteren Check-out, denn mein Begleiter und ich möchten ausschlafen.",2010,fragen,fragen,fragen,0
"Es sind – nach strengstem Reglement, das Missbrauch nie ausschließen kann – die Betroffenen selbst.",2009,brauchen,missbrauchen,missbrauch,0
"Als die Piraten darauf nicht reagierten, feuerten die Inder mit Maschinengewehren auf den Tanker.",2009,feuern,feuerten,feuerten,0
"Die Aufseher von BaFin und Bundesbank wussten im Herbst vergangenen Jahres, dass sich die Refinanzierungsstruktur der HRE nach der 2007 erfolgten Übernahme der Depfa kräftig verschlechtert hatte, und haben das in ihren Berichten regelmäßig dokumentiert.",2009,folgen,erfolgen,erfolgten,0
"Lund hat Platz genommen, die Hände liegen entfalten im Schoß, sie ruht in sich, das spürt man.",2010,falten,entfalten,entfalten,1
"Doch die Hohe Frau ziert sich, sucht Trost bei den Geistererscheinungen.",2009,zieren,ziert,ziert,0
"Die Dokumente sind geschlossen, die Zweifel aber geblieben.",2010,schließen,geschlossen,geschlossen,0
Am Sonntag hatten die Beiden miteinander telefoniert ab.,2009,telefonieren,abtelefonieren,telefoniert ab,1
Dadurch sei das Verschwinden des Flugzeugs erst Stunden später aufgefallen.,2009,fallen,auffallen,aufgefallen,0
"Doch hütet sich Netanjahu davor, den Palästinenserstaat offen abzulehnen, weil er in der politischen Mitte noch Stimmen sammeln will.",2009,hüten,hütet,hütet,0
"Müsste man die Kleidung von H&M in einem Satz beschreiben, würde man sagen: Sieht gut aus und kostet fast nichts.",2010,sagen,aussagen,sagen aus,0
"Ich bin betrunken genug, um mir, falls wir nachher knutschen, vorzustellen, ich knutschte ab Marie Bäumer.",2010,knutschen,abknutschen,knutschte ab,1
"In seinem Film kriecht ein Alligator entlang des Highways und auch mal ein Leguan durchs Zimmer, was in einer Welt, in der buchstäblich alles den Bach runtergeht, nicht weiter erstaunt.",2009,kriechen,kriecht,kriecht,0
"Just in einer Zeit, als Rilke durch seine Beschwörungen des emotional Unsagbaren zum Abgott einer Generation wurde, die dessen Dichtung als Entschuldigung für ihr eigenes Verstummen nach den Schrecken des Zweiten Weltkriegs verstand, proklamiert der 19-jährige Buchhändlerlehrling Rolf Dieter Brinkmann aus Vechta: Rilke ist von gestern.",2010,stehen,verstehen,verstand,0
"Die Zellen des frühen Embryos müssen sich verwandeln, bilden aus schließlich die unterschiedlichen Zelltypen für rund 240 verschiedene Gewebearten.",2009,bilden,ausbilden,bilden aus,1
"Wenn die Politiker Mut zur weiteren Öffnung der starren Regeln für das Handeln von Kassen und Leistungserbringern hätten, könnte sich ein Wettbewerb der Kassen um Qualität und Wirtschaftlichkeit ergeben.",2010,starren,starren,starren,0
Eine offizielle Stellungnahme zur KHL lehnte die NHL ab.,2009,lehnen,lehnte,lehnte,0
"Damals gärte es längst in der DDR, und die Bausoldaten aus dem bürgerrechtsbewegten Leipzig schmuggelten in ihren Stiefeln Untergrundschriften von einem Zimmer ins andere.",2010,schmuggeln,schmuggelten,schmuggelten,0
"Die Gefahr ist groß, dass die Mixturen Schwermetalle oder beige-vermengen Wirkstoffe wie Cortison enthalten.",2010,mengen,vermengen,vermengen,1
"Kempowskis gelegentliche Dienste für die Amerikaner waren keine Überzeugungstaten, sie brachten ihm und seiner
DIE ZEIT:  An Ihnen kommt man während dieser indischen Parlamentswahlen, die noch bis zum 14. Mai andauern, nicht vorbei.",2009,dauern,andauern,andauern,0
In den damals bekannten Glasleitern fiel die Intensität des übertragenen Lichts schon nach wenigen Metern rapide ab.,2009,kennen,bekennen,bekannten,0
Angeblich haben Sie damals wochenlang mit sich gerungen ab.,2009,ringen,abringen,gerungen ab,1
"Hawking leidet seit seiner Jugend an amytropher Lateralsklerose (ALS), eine degenerative Erkrankung des Nervensystems, die ihn an den Rollstuhl fesselt.",2009,fesseln,fesselt,fesselt,0
"Wenn es ernst und schwer zu werden bedrohen, nimmt Luc Bondy sofort den Fuß vom Pathospedal.",2010,drohen,bedrohen,bedrohen,1
"Jetzt stehen Polizei und Landeskriminalämter reichlich begossen und vor allem mit entleeren Händen da, und alle Fälle, die bislang auf das Konto von UWP gebucht waren, sind wieder offen.",2009,leeren,entleeren,entleeren,1
"Don sieht nicht nur so aus wie der Dude, er spricht auch so und denkt wie er.",2010,sprechen,spricht,spricht,0
"Und wenn man frische Kohlrabi kocht, hat man noch Spaß dabei, denn beim Schneiden kann man vernaschen.",2009,naschen,vernaschen,vernaschen,1
"Die Antworten der westlichen Zivilisationskritiker, denen wichtiger ist, was sie essen als wie sie leben, bedenkt Maier (und hier kommt auf er ausnahmsweise einmal aus der Deckung) mit bösem Spott.",2009,kommen,aufkommen,kommt auf,1
Dort erwartet sie eine Rallye zu den Tücken und Fallen im Netz.,2009,warten,erwarten,erwartet,0
Nur Tage nach dem Rummel um den Himalayafehler tauchten Zweifel an einem anderen Detail auf: 2006 hatte der Londoner Unternehmensberater Robert Muir-Wood ein Gutachten über den Zusammenhang von Extremwetterereignissen und jährlichen Schadenssummen verfasst.,2010,zweifeln,anzweifeln,zweifel an,0
"Vom Sehnen erzählen die meisten Zeichnungen nur in dem Sinne, dass man sich bei ihrem Anblick nach Sehnsucht ersehnen.",2010,sehnen,ersehnen,ersehnen,1
"Die ausgetorften Feuchtgebiete trocknen ab aus, dann brennen sie wie Zunder.",2010,trocknen,abtrocknen,trocknen ab,1
"030/6758423) Dabei steht die Chefin ganz allein am Herd, hat als einzige Küchenhilfe die 92-jährige Mama an der Seite, die, frisch frisiert, Kartoffeln schält, Besteck poliert und Stammgäste begrüßt.",2010,polieren,poliert,poliert,0
Geradezu als Symbol dafür ragte gestern hinter der Leinwand der – wie immer hell beleuchtete – Eiffelturm auf.,2009,hellen,aufhellen,hell auf,0
"Nur der Barkeeper, der am Tresen neben unserer Übungsstrecke Gläser poliert auf, legt ein Pokerface an den Tag.",2010,polieren,aufpolieren,poliert auf,1
"Es ist also ratsam, eventuelle Hungergefühle mit den guten Brotsorten zu bekämpfen, die auf dem Tisch erstehen.",2009,stehen,erstehen,erstehen,1
"Ich bin gerade 45 Jahre alt geworden und habe mir gedacht: Jetzt gib mal lieber schnell den Helden, ehe du alt wirst und nicht mehr an der Decke kleben und in der Luft herumfliegen kannst.",2010,kleben,kleben,kleben,0
"Bisher stuft die Weltgesundheitsorganisation (WHO) die H1N1-Grippewelle noch nicht als weltweite Pandemie ein – und sieht daher auch keinen Anlass, die Alarmphase für die Amerikanische Grippe auf die höchste Stufe 6 anzuheben.",2009,stufen,stuft,stuft,0
"Zum Beispiel, indem man die Institute verpflichtet, mehr Eigenkapital zurückzulegen, und ihnen verbietet, Geschäfte außerhalb ihrer Bilanz zu tätigen.",2009,tätigen,tätigen,tätigen,0
"Komm zu mir, sagte der Polizist, ich kann dir helfen.",2010,kommen,zukommen,komm zu,0
Bei einer stillen ab Teilhabe Aabars soll es nicht bleiben.,2009,stillen,abstillen,stillen ab,1
"Schon als Kind entdeckt er das Theater: das Hansa-Theater, ein Varieté, es liegt nur wenige Schritte entfernt am Steindamm.",2010,decken,entdecken,entdeckt,0
"Der Bauer ist 85, hat seit vielen Jahrzehnten treu zu seinem Kohl gestanden.",2009,stehen,gestehen,gestanden,0
"Die einst so stolzen Mitteparteien, die den Kern des 1848 gegründeten Bundesstaates bildeten, befristen nur noch ein kümmerliches Dasein.",2009,fristen,befristen,befristen,1
"Wir beneiden keinem, der es verdient, seinen Lohn.",2010,neiden,beneiden,beneiden,1
Für die Tilgung dieser Darlehen erhalten Hauseigentümer staatliche Zulagen und Steuervorteile wie für einen normalen Riester Sparvertrag.,2009,halten,erhalten,erhalten,0
"Auf hochhackigen Schuhen und in Blusen, die schon etwas länger im Schrank hängen, verwandeln sie durch ein Leben, in dem alles okay ist und doch etwas fehlt.",2010,wandeln,verwandeln,verwandeln,1
"Nein, die trinken an ihn nicht nur, die Schwestern Ersiliana und Antonella Bronca produzieren auch hervorragenden Prosecco Die Sonne scheint über Prosecco-Land.",2010,trinken,antrinken,trinken an,1
"Weil Ungereimtheiten offenbar geworden waren, fiel der Verdacht nun auf Mannichls Umfeld, die Attacke erschien mit einem Mal als Beziehungstat.",2009,denken,verdenken,verdacht,0
"Sollte Netanjahu in der Frage des Siedlungsbaus nun tatsächlich einlenken, könnte dies den Zusammenhalt seiner konservativ geführten Regierung gefährden.",2009,lenken,einlenken,einlenken,0
Aber die offene Tür bespucken ständig weitere Kohlköpfe aus.,2009,spucken,bespucken,bespucken,1
"Weltweit wird Öl in Heizungen und Motoren verfeuert, die Gier nach Energie diktiert den Preis.",2010,feuern,verfeuern,verfeuert,0
Weit gedacht war das aber nicht.,2010,denken,gedenken,gedacht,0
"Ein paar Minuten früher erwecken werden, dafür aber sanft, lautet der Deal, und es funktioniert.",2010,wecken,erwecken,erwecken,1
Obama zeigt von Anfang an Respekt.,2009,zeigen,anzeigen,zeigt an,0
"Um herauszufinden, ob Fisch oder Fleisch durch sind, ohne das Bratgut zu zerschneiden, kann man den Fingertest machen: Je länger etwas brät aus, desto fester wird es; schön rosig ist es, wenn es sich wie eine reife Pflaume anfühlt.",2010,braten,ausbraten,brät aus,1
"Die täglichen Wanderungen führen durch die hügelige Landschaft der Südsteiermark zu familiär und ökologisch geführten Betrieben, bei denen Wein, Most und Hausgemachtes verkostet werden.",2009,kosten,verkosten,verkostet,0
Die Einsätze sollen aber mit den irakischen Behörden abgesprochen werden.,2009,sprechen,absprechen,abgesprochen,0
"Immer und überall Klaus Staeck, groß und schmal, mit erhellen, schütteren Haaren, alterslos.",2009,hellen,erhellen,erhellen,1
"Wenn es denn stimmt – woran ich nicht zu verzweifeln wage –, liegt der Grund dafür an der Kneipendichte der Stadt und wird untermauert von der Tatsache, dass die meisten Kneipen ordentliche Restaurants sind und – sensationell!",2010,zweifeln,verzweifeln,verzweifeln,1
"So ganz hat sich die CSU im Münchner Maximilianeum wohl noch nicht daran gewöhnt, dass sie in der Landespolitik nicht mehr allein schalten und verwalten kann.",2009,walten,verwalten,verwalten,1
"Die Folge wäre ein weiter harter Preiswettbewerb, der an der Rentabilität zernagen würde.",2010,nagen,zernagen,zernagen,1
"Salzen, pfeffern, ordentlich Muskat sowie ein oder zwei EL Parmesan drüberreiben.",2009,salzen,einsalzen,salzen ein,1
Die Lösung: Sie bieten an sogenannte Kuh-Aktien an.,2009,bieten,anbieten,bieten an,1
Hier spiegelt vor sich aber auch eine Realität: Sie waren seltener in oberen Hierarchiestufen.,2010,spiegeln,vorspiegeln,spiegelt vor,1
Union und FDP kommen zusammen bloß auf 604 Stimmen.,2009,kommen,aufkommen,kommen auf,0
"Einmal träumt Larry, der Judenhasser knalle ihn ab, einfach so, wie Freiwild bei der Jagd.",2010,knallen,knalle,knalle,0
"Die Airlines bieten den Kunden auch Waren etwa aus dem Lufthansa Skyshop an, damit diese Meilen verbrauchen, ohne sie in Flüge umzusetzen.",2009,bieten,bieten,bieten,0
"Die Banken liehen Firmen damals einfach so Geld, sie zockten nicht mit Zertifikaten.",2010,leihen,liehen,liehen,0
"Präsident Rajapakse und die  singhalesisch geprägte Regierung werden jetzt keine Friedensgespräche mit den  verbliebenen Kadern führen, sondern ihren Sieg auskosten wollen.",2009,kosten,auskosten,auskosten,0
Diese unbequeme Wahrheit spricht sie nicht aus.,2009,sprechen,aussprechen,spricht aus,0
"Doch es gibt kein Vertun, dieser Mann, der da auf der Bühne als ein in der Wolle gefärbter Konservativer gepriesen an wird, ist tatsächlich John McCain.",2010,preisen,anpreisen,gepriesen an,1
"heißt die vom schwedischen Autor und Übersetzer Aris Fioretos kuratierte Ausstellung, die dem Besucher die fragile Dichterexistenz der Nelly Sachs in Erinnerung berufen.",2010,rufen,berufen,berufen,1
Er war früh aufgestanden und wunderte sich über die vielen Betrunkenen auf der Straße.,2009,wundern,wunderte,wunderte,0
"Der Mann schrie an den Satz wieder und wieder, in einem beschwörenden Singsang, den ich noch nie gehört hatte.",2009,schreien,anschreien,schrie an,1
"Dort nehmen sie täglich mehrere Stunden lang an ihren großen schwarzen Instrumenten Platz, streicheln die Tasten, als seien es alte Katzen, polieren auf hier die Phrasierung eines Chopin-Nocturnes und bringen da ein Beethoven-Rondo in Form.",2009,polieren,aufpolieren,polieren auf,1
"Als Bayer Lanxess in die Freiheit entließ, waren viele Geschäfte des neuen Unternehmens links unten im Diagramm zu verorten.",2010,lassen,entlassen,entließ,0
Künftig muss der Staat eine riesige Last an Zins- und Tilgungszahlungen stemmen auf.,2009,stemmen,aufstemmen,stemmen auf,1
"Wahrscheinlich hätten die Haitianer den amerikanischen Rapper Wyclef Jean zum Präsidenten gewählt, aber er durfte aus formalen Gründen nicht antreten.",2010,treten,antreten,antreten,0
"Es ging um den bevorstehenden Beschluss, eine gemeinsame europäische Währung zu verschaffen.",2010,schaffen,verschaffen,verschaffen,1
"Eintritt zahlen, an den Palmen und Kakteen vorbei, links die Tulpen, rechts die Rosen – dann kommt er in die Abteilung mit den fleischfressenden Pflanzen.",2010,zahlen,zahlen,zahlen,0
"Nun kanzelt er die wenigen Abgeordneten ab, die sich empört über das Verhalten ihrer Kollegen äußern und drastische Schritte zur Besserung fordern.",2009,halten,verhalten,verhalten,0
Dieses Angebot soll vor allem Schüler aus den östlichen Nachbarländern nach Neusiedl entlocken.,2010,locken,entlocken,entlocken,1
Ein Wirtschaftsprüfer klopft ein gerade die Anträge auf ihre Tragfähigkeit ab.,2009,klopfen,einklopfen,klopft ein,1
"Bis heute reden Breuel und Merkel öfter miteinander, wie oft, mag Breuel nicht sagen.",2009,reden,reden,reden,0
"Westside heißt der riesige urbane Komplex, der hier, auf der größten privaten Baustelle der Schweiz, aus dem Ackerboden gestampft auf worden ist.",2009,stampfen,aufstampfen,gestampft auf,1
"Bildungsminister Klug plant außerdem, bis 2020 knapp 4000 Lehrerstellen zu streichen.",2010,streichen,streichen,streichen,0
"Unmittelbar nach der Operation fällt Wilhelm Kaufhold ins Koma, er liegt da und regt an sich nicht.",2009,regen,anregen,regt an,1
"Hier jedenfalls, im Schutz einer Hecke, erleben die beiden, verfangen zwischen Begehren und Einsamkeit, einen brüchigen Moment der Intimität.",2009,fangen,verfangen,verfangen,0
"Sie sahen aus wie die Schühchen einer spreizfüßigen Ballerina, schwarz und glänzend, auf die Spitzen waren Schleifen bekleben wie auf ein Geschenk.",2010,kleben,bekleben,bekleben,1
Tagsüber heizt ein sich das schattenlose Wiesenmeer stärker auf und saugt die abgestandene Luft aus Kreuzberger und Neuköllner Straßen heraus.,2009,heizen,einheizen,heizt ein,1
"Sie lassen fertigen an, meist in Asien, und sie scherten sich zunächst auch nicht darum, wie erbärmlich es dort zugeht.",2009,fertigen,anfertigen,fertigen an,1
Oben am Berg weideten ab sie ihre Kühe und Ziegen.,2010,weiden,abweiden,weideten ab,1
Handschaltende Menschen würden da ein bis zwei Gänge niedriger wählen.,2009,wählen,wählen,wählen,0
Sie hat die MDC mitbegründet und sitzt wie immer in ihrem verengen Büro vor dem antiquierten Computer.,2009,engen,verengen,verengen,1
"Um 35 Prozent seien die Auftragseingänge der Firmen aus der Region in den ersten fünf Monaten 2010 gestiegen aus, sagt Thomas Lindner, Chef des Verbands der Maschinen- und Anlagenbauer VDMA in Baden-Württemberg.",2010,steigen,aussteigen,gestiegen aus,1
"Noten werden immer mehr wert, wo sie sowieso eine große Rolle spielten zu.",2009,spielen,zuspielen,spielten zu,1
"Entscheiden, ob dafür besser selten viel oder oft wenig geliefert wird.",2009,scheiden,entscheiden,entscheiden,0
"Wir starren an aber weiter wie gebannt auf alle möglichen Indizes wie Bruttoinlandsprodukt, Geschäftsklima- und Börsenkurven oder Preissteigerungen – und sind auf Wachstum fixiert.",2010,starren,anstarren,starren an,1
"Da ist die Mördergrube, die wie zum Hohn unter den Augen des Opfers vergraben wurde.",2009,graben,vergraben,vergraben,1
"Das ist ihm bewusst, sehr bewusst sogar, denn der 47-Jährige verfügt über einen wachen Verstand.",2009,stehen,verstehen,verstand,0
"Manche sagen aber auch, dass sie sich nicht wieder verbinden wollen, weil sie Angst vor einer neuen Enttäuschung haben.",2010,binden,verbinden,verbinden,1
"Ich hätte nie gedacht, dass ich mir mal so eine Verletzung zuziehe wie beim Spiel in St. Petersburg im April 2008.",2009,denken,gedenken,gedacht,0
"Die Gruppe der Militanten schwoll ab an, immer wieder versuchten sie, die Absperrungen zu durchbrechen.",2009,schwellen,abschwellen,schwoll ab,1
"Hinter ihrem Rücken wuchten aus Männer in dunklen Anzughosen Grillroste und Kohlensäcke in den Park, Frauen in langen Kleidern laufen mit Plastikdosen und Kühltaschen hinter ihnen her.",2009,wuchten,auswuchten,wuchten aus,1
"Da muss dann natürlich auch das Bundesheer ausrücken und, wohl nur einigen burgenländischen Gastwirten zuliebe, eine Grenze schützen, die lediglich virtuell noch vorhanden ist.",2009,schützen,schützen,schützen,0
"Wir müssen und dürfen keine Verstöße gegen unsere Rechtsordnung erdulden und auch nicht das Ausgreifen einer Religion auf Felder der Öffentlichkeit, das über das Maß hinausgeht, das anderen Religionen auch zugebilligt wird.",2010,dulden,erdulden,erdulden,1
"Schwarze suchen aus Anlässe, um über das lange von den Schwarzen erlittene Unrecht zu sprechen – gerade weil ein Afroamerikaner Präsident ist.",2009,suchen,aussuchen,suchen aus,1
"Viele Schwellen- und Entwicklungsländer können heute auf die globalen Finanzmärkte zugreifen, um Investitionen zu mitfinanzieren.",2010,finanzieren,mitfinanzieren,mitfinanzieren,1
Peitschen (das wäre so eine Art) kommen bei Arnold Stadler jedenfalls nicht vor.,2009,peitschen,auspeitschen,peitschen aus,1
"Wenn man den auf eine dünne Glasplatte streut aus und unter der Platte einen Magneten ansetzt, kann man den Sand über das Glas ziehen.",2010,streuen,ausstreuen,streut aus,1
"Meine Designerjacken kaufte ich mir selber, folglich belohnen sich der Job für mich auch finanziell überhaupt nicht.",2009,lohnen,belohnen,belohnen,1
"Auch die Städte im reichen Europa müssen sich davor hüten, in ein strahlendes Zentrum und eine Peripherie zu zerfallen, die nur trostloses Sammelbecken für Perspektivlose ist.",2009,fallen,zerfallen,zerfallen,0
"Vielleicht ist sie ja auch einmal jung gewesen, aber im Rückblick kann man sich die Hamburger Volksstückheldin nicht ohne ihre weise, oft etwas versteifen Überlegenheitskomik vorstellen.",2010,steifen,versteifen,versteifen,1
"In dem Kurs werden Aurora und die anderen dann aus Pappkartons Schablonen schneiden und selbst sogenannte Stencil-Graffiti sprühen oder Poster drucken, um sie dann an Wände zu kleben.",2009,sprühen,sprühen,sprühen,0
"Dieses Metall, eine Gabe der Götter selbst, habe die Erde jedoch unter Tage gespeichert auf und damit bösartig wie eine Stiefmutter dem Menschen entzogen.",2010,speichern,aufspeichern,gespeichert auf,1
Einer der Jungen mustert sein Opfer ein letztes Mal und versetzt ihm zwei harte Fußtritte.,2009,mustern,mustert,mustert,0
"Heute harren nicht einmal 300 Menschen in der verödeten Siedlung aus, von der auf österreichischer Seite nur mehr eine Handvoll unbewohnter Häuser und eine Tankstelle übrig geblieben sind.",2009,harren,harren,harren,0
"Weder soff noch kiffte er, und wer angetörnt zur Probe erschien, wurde gefeuert.",2010,saufen,soff,soff,0
Dann nämlich würde sie im Windschatten eines erhofften bundesweiten Votums für Schwarz-Gelb besegeln und könnte so von den eigenen Problemen ablenken.,2009,segeln,besegeln,besegeln,1
"Damals war bereits klar, dass diese Aquakulturen stark wachsen würden, weil die Meere fast leer gefischt ab waren.",2010,fischen,abfischen,gefischt ab,1
"Zum Beispiel, wenn sie auf dem Wohnungsmarkt in den günstigsten Wohnungen leben, obschon sie ein höheres Einkommen erwirtschaften könnten.",2010,wirtschaften,erwirtschaften,erwirtschaften,0
"Es ist dieselbe Mauer, auf die Nir gerade seine Bilder klebt zu.",2009,kleben,zukleben,klebt zu,1
"Wiewohl er sich mühte, uns ein lupenreines Oxford-Englisch zu lehren, pflegte er die Earls und Dukes, die Lords und Ladys mit einem einzigen verächtlichen Wort zu brandmarken: bloodsuckers, Blutsauger.",2009,mühen,mühte,mühte,0
"Und zweitens ist es mehr als bloß PR-Taktik Obamas, das KZ aufzusuchen, an dessen Befreiung sein Großonkel Charlie Payne beteiligt war.",2009,suchen,aufsuchen,aufzusuchen,0
Doch der schon beinahe legendäre Ruf war zuletzt schwer angeschlagen.,2009,schlagen,anschlagen,angeschlagen,0
